2025-08-28 14:08:54 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 14:08:54 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 14:08:54 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 14:08:54 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 14:08:54 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
2025-08-28 14:08:54 | INFO     | app.database:connect_to_mongo:28 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Conectado ao MongoDB com sucesso
2025-08-28 14:08:54 | SUCCESS  | app.main:lifespan:20 | {'event': 'startup'} | Aplicação iniciada com sucesso
2025-08-28 14:13:23 | INFO     | app.main:lifespan:26 | {'event': 'shutdown'} | Encerrando a aplicação
2025-08-28 14:13:23 | INFO     | app.database:close_mongo_connection:39 | {} | Conexão com MongoDB fechada
2025-08-28 14:13:23 | INFO     | app.main:lifespan:28 | {'event': 'shutdown'} | Aplicação encerrada
2025-08-28 14:13:23 | INFO     | app.logger:setup_logger:83 | {} | Logger configurado para financas_backend
2025-08-28 14:13:23 | INFO     | app.main:lifespan:17 | {'event': 'startup'} | Iniciando aplicação FastAPI
2025-08-28 14:13:23 | INFO     | app.database:connect_to_mongo:18 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Iniciando conexão com mongoDB
2025-08-28 14:13:23 | DEBUG    | app.database:connect_to_mongo:19 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | Database: finances-db
2025-08-28 14:13:23 | DEBUG    | app.database:connect_to_mongo:20 | {'operation': 'connect', 'collection': None, 'database': 'finances-db'} | URL: mongodb://admin:password@localhost:27017/finances-db?authSource=admin&replicaSet=rs0
